კოდი,დასახელება,ფასი,ფოტო,Image_URL,Image_File,Status,Match_Title
1,საბურავის ლატკა MU A0 CIVI DELIGI YAMASI000,0.4,,https://swistowski.pl/img/p/4/8/48.jpg,1.jpg,FOUND,
2,საბურავის ლატკა MU 00 CIVI DELIGI YAMASI,0.5,,https://ideacdn.net/idea/cd/75/myassets/products/687/gut00.png?revision=1697143329,2.jpg,FOUND,
3,საბურავის ლატკა MU B0 CIVI DELIGI YAMASI,0.9,,https://ir.ozone.ru/s3/multimedia-9/c1000/6629171481.jpg,3.jpg,FOUND,
4,საბურავის ლატკა MU 01 CIVI DELIGI YAMASI,1.28,,https://www.static-src.com/wcsstore/Indraprastha/images/catalog/full/catalog-image/99/MTA-176131674/no-brand_no-brand_full01.jpg,4.jpg,FOUND,
5,საბურავის ლატკა MU 02 CIVI DELIGI YAMASI,1.8,,https://www.canotom.com.tr/idea/cd/75/myassets/products/672/gut00.png?revision=1754901748,5.jpg,FOUND,
6,საბურავის ლატკა MR 08 RADYAL YAMASI,2,,https://ideacdn.net/idea/cd/75/myassets/products/084/gnr-08.jpg?revision=1697143329,6.jpg,FOUND,
7,საბურავის ლატკა MR 10 RADYAL YAMASI,1.8,,https://ph-test-11.slatic.net/p/c447a62a8bfeeb45c978ffccc97e1d76.jpg,7.jpg,FOUND,
8,საბურავის ლატკა MR 12 RADYAL YAMASI,4.5,,https://down-th.img.susercontent.com/file/85ddceb39e77ef6e6427d9e908261798,8.jpg,FOUND,
9,საბურავის ლატკა MR 14 RADYAL YAMASI,6,,https://productimages.hepsiburada.net/s/199/550/110000170500493.jpg,9.jpg,FOUND,
10,საბურავის ლატკა MR 18 RADYAL YAMASI,5,,https://lzd-img-global.slatic.net/g/ff/kf/Sbb6da9c1537940dc8f41a0bb837df8cbB.jpg_720x720q80.jpg,10.jpg,FOUND,
11,საბურავის ლატკა MR 20 RADYAL YAMASI,7,,https://www.canotom.com.tr/idea/cd/75/myassets/products/089/gnr20.png?revision=1754902144,11.jpg,FOUND,
12,საბურავის ლატკა MR 25 RADYAL YAMASI,22,,https://ideacdn.net/idea/cd/75/myassets/products/091/gnr25.png?revision=1697143329,12.jpg,FOUND,
13,საბურავის ლატკა MR 35 RADYAL YAMASI,22,,,,NOT FOUND,
14,საბურავის ლატკა MR 40 RADYAL YAMASI,22,,https://ideacdn.net/idea/cd/75/myassets/products/095/gnr40.png?revision=1697143329,14.jpg,FOUND,
15,RAC 86 YAMA,55,,,,NOT FOUND,
17,საბურავის ლატკა MR 45 RADYAL YAMASI,35,,https://swistowski.pl/img/p/1/0/8/108.jpg,17.jpg,FOUND,
18,საბურავის ლატკა MU A0 CIVI DELIGI YAMASI,10,,https://swistowski.pl/img/p/4/8/48.jpg,18.jpg,FOUND,
19,საბურავის ლატკა M2 TABAKA YAMA 25 LI,10,,https://cdn.dsmcdn.com/ty973/product/media/images/20230727/2/397092919/311486230/1/1_org_zoom.jpg,19.jpg,FOUND,
20,საბურავის ლატკა L3 TABAKA YAMA 16 LI,9,,https://n11scdn.akamaized.net/a1/450/16/75/09/62/IMG-2705001601730504667.jpg,20.jpg,FOUND,
21,რეზინის ფურცელი L OVAL TABAKA YAMA 24 LU,8,,http://enyakinbursalastikci.com/uploads/fm/oval-ic-lastik-yamalari.jpg,21.jpg,FOUND,
22,MLX UR4 YAMA,0.5,,,,NOT FOUND,
23,რეზინის ფირ ფიტა BP1 YAMA MLX,1.25,,,,NOT FOUND,
24,MLX RD 10 YAMA  რეზინის ფირ ფიტიანი,1.8,,,,NOT FOUND,
25,MLX RD 35 YAMA  რეზინის ფირ ფიტიანი,12,,,,NOT FOUND,
26,წებო 200CC VALCARN,25,,https://lzd-img-global.slatic.net/g/p/9e69bf1d52da50b89a3effd030f3a289.jpg_720x720q80.jpg,26.jpg,FOUND,
27,წებო 200CC SUPER VALCARN,25,,https://ideacdn.net/idea/lg/30/myassets/products/267/200ml-super-valkarn-lastik-tamir-yama-solusyonu-maruni64f8e458ef8c1.jpeg?revision=1709288584,27.jpg,FOUND,
28,წებო 1000CC SUPER VALCARN,90,,https://cdn.dsmcdn.com/ty1623/prod/QC/20250113/15/ad1c81f1-f62c-3adb-b3ce-aba7e3ecbbb3/1_org_zoom.jpg,28.jpg,FOUND,
29,წებო 225 GR OZEL MAVI CEMENT SOLUSYON,25,,https://byrox.com.tr/image/cache/catalog/Byrox/mavi-lastik-1200x1200.png,29.jpg,FOUND,
30,წებო საბურავის ფირ ფიტისთვის 650 GR OZEL MAVI CEMENT SOLUSYON,80,,https://shop.redats.com/eng_pl_Vulcanizing-glue-Special-Cement-OTR-650g-2197_4.jpg,30.jpg,FOUND,
31,წებო 1000 ML YESIL CEMENT BETA,60,,,,NOT FOUND,
32,საბურავის ლატკა PFN 8 CIVI DELIGI YAMASI,2,,https://ideacdn.net/idea/cd/75/myassets/products/684/pfn-4.png?revision=1697143329,32.jpg,FOUND,
33,საბურავის ლატკა PFN 6 CIVI DELIGI YAMASI,1.2,,https://ideacdn.net/idea/cd/75/myassets/products/684/pfn-4.png?revision=1697143329,33.jpg,FOUND,
34,საბურავის ლატკა PFN 4 CIVI DELIGI YAMASI,0.8,,https://ideacdn.net/idea/cd/75/myassets/products/684/pfn-4.png?revision=1697143329,34.jpg,FOUND,
35,საბურავის ლატკა PFN 2 CIVI DELIGI YAMASI,0.8,,https://ideacdn.net/idea/cd/75/myassets/products/684/pfn-4.png?revision=1697143329,35.jpg,FOUND,
36,რეზინის ფირ ფიტა GAV R 10 RADYAL YAMASI,2,,https://timurrulman.com.tr/idea/ou/25/myassets/products/204/radyal-yama.jpg?revision=1752490111,36.jpg,FOUND,
37,რეზინის ფირ ფიტა GAV R 12 RADYAL YAMASI,3.5,,,,NOT FOUND,
38,რეზინის ფირ ფიტა GAV R 14 RADYAL YAMASI,4,,,,NOT FOUND,
39,რეზინის ფირ ფიტა GAV R 15 RADYAL YAMASI,4,,,,NOT FOUND,
40,რეზინის ფირ ფიტა GAV R 18 RADYAL YAMASI,4.5,,,,NOT FOUND,
41,რეზინის ფირ ფიტა GAV R 20 RADYAL YAMASI,5,,,,NOT FOUND,
